id,week,team,points,talent,outcome,spread,home,win,cover,totalYards,rushingYards,netPassingYards,yardsPerPass,yardsPerRushAttempt,firstDowns,turnovers,defensiveTDs,sacks,kickReturnYards,kickReturnTDs,points_MA,totalYards_MA,rushYards_MA,passYards_MA,firstDowns_MA,turnovers_MA,defensiveTDs_MA,sacks_MA,kickReturnYards_MA,kickReturnTDs_MA
401112451,3,Virginia,31,580.28,-7,-7.0,1,1,0,415,120,295,7.4,3.8,27,2,0,3,35,0,41.0,410.5,172.5,238.0,22.5,2.0,1.0,5.5,99.5,0.5
401114164,1,Hawai'i,45,420.99,-7,10.5,1,1,1,595,159,436,9.1,5.3,31,6,0,4,65,0,,,,,,,,,,
401114163,14,Arizona State,24,686.44,-10,-13.5,1,1,0,338,234,104,5.5,4.3,23,0,0,1,0,0,30.75,416.25,91.0,325.25,19.25,1.5,0.25,2.25,89.0,0.0
401114167,6,Colorado,30,614.27,5,-2.5,1,0,0,496,159,337,7.7,4.3,26,0,0,0,0,0,35.75,434.75,143.75,291.0,21.0,1.0,0.25,2.25,50.25,0.0
401114170,9,Stanford,41,787.59,-10,-3.0,1,1,1,472,160,312,7.3,5.2,26,0,0,6,79,0,19.0,316.75,114.5,202.25,16.5,0.5,0.25,4.75,71.0,0.0
401114169,8,USC,41,915.56,-27,-10.0,1,1,1,448,201,247,8.2,5.6,16,1,0,7,25,0,24.5,408.5,141.75,266.75,20.25,2.0,0.0,2.5,98.5,0.0
401114172,12,Oregon,34,817.7,-28,-27.0,1,1,1,471,138,333,11.9,3.5,21,1,0,6,0,0,43.25,473.5,212.75,260.75,26.25,0.25,0.75,2.5,77.75,0.25
401114200,2,Hawai'i,31,420.99,-3,-7.0,1,1,0,488,67,421,8.1,2.7,29,2,0,1,115,0,45.0,595.0,159.0,436.0,31.0,6.0,0.0,4.0,65.0,0.0
401114178,8,California,17,611.58,4,-10.5,1,0,0,282,107,175,5.3,2.5,20,1,0,10,48,0,18.75,303.0,95.0,208.0,16.5,1.0,0.0,2.5,44.25,0.0
401114206,13,Washington State,54,556.27,-1,-10.5,1,1,0,641,35,606,8.7,2.7,35,5,0,1,39,0,36.25,497.5,72.0,425.5,26.25,1.5,0.0,3.5,103.5,0.0
401114203,6,UCLA,31,741.4,17,-4.5,1,0,0,492,256,236,5.8,5.3,27,0,0,2,23,0,28.0,418.5,134.75,283.75,22.5,1.5,0.5,2.5,40.0,0.25
401114199,14,Oregon,24,817.7,-14,-20.5,1,1,0,365,191,174,5.8,5.2,19,1,1,1,121,1,38.75,465.5,184.25,281.25,25.0,1.0,0.75,3.25,72.0,0.25
401114171,10,Arizona,38,570.07,18,-4.5,1,0,0,526,148,378,9.2,3.1,33,0,0,3,52,0,26.75,431.75,148.5,283.25,22.75,2.5,0.0,1.5,74.5,0.0
401117511,4,Hawai'i,35,420.99,-19,-16.5,1,1,1,413,113,300,9.4,4.7,23,4,2,2,53,0,32.0,492.6666666666667,122.33333333333333,370.3333333333333,28.333333333333332,3.6666666666666665,0.0,2.3333333333333335,85.0,0.0
401114246,1,Western Kentucky,28,486.97,7,-10.0,1,0,0,488,184,304,7.8,5.3,22,2,0,3,87,0,,,,,,,,,,
401117525,8,Hawai'i,26,420.99,30,4.0,1,0,0,486,82,404,7.6,4.1,26,2,0,0,136,0,36.5,439.5,126.5,313.0,24.5,2.75,1.0,2.0,77.0,0.0
401114185,3,Colorado,23,614.27,7,-3.0,1,0,0,325,105,220,5.1,3.3,19,1,0,0,17,0,43.0,469.5,166.0,303.5,22.5,1.0,0.5,4.0,43.0,0.0
401117516,6,Navy,34,335.4,-9,3.0,1,1,1,376,214,162,20.3,4.3,16,3,2,4,89,0,36.666666666666664,457.3333333333333,344.6666666666667,112.66666666666667,25.0,1.3333333333333333,0.0,2.0,12.0,0.0
401183793,13,New Mexico,22,401.9,22,24.0,1,0,1,358,268,90,5.0,6.2,19,1,0,0,142,0,15.0,377.5,150.5,227.0,19.0,1.25,0.0,3.0,47.0,0.0
401117506,4,Boise State,30,561.42,-11,-7.5,1,1,1,355,95,260,9.3,3.3,17,0,0,2,33,0,31.666666666666668,516.3333333333334,173.0,343.3333333333333,27.333333333333332,2.0,0.3333333333333333,7.666666666666667,64.66666666666667,0.3333333333333333
401117544,12,Colorado State,21,518.83,17,10.5,1,0,0,386,39,347,8.1,1.3,22,2,1,0,54,0,30.75,428.5,125.25,303.25,20.75,1.75,0.25,4.25,58.25,0.25
401117537,10,Hawai'i,38,420.99,3,-2.0,1,0,0,555,209,346,6.8,6.7,25,1,0,0,116,0,40.5,503.5,147.25,356.25,24.25,1.75,0.75,1.5,83.25,0.0
401117557,14,San José State,17,433.33,-1,-2.5,1,1,0,402,112,290,8.5,3.3,15,0,0,2,0,0,37.75,490.0,92.0,398.0,25.0,1.25,0.0,3.25,63.75,0.0
401117520,7,Air Force,43,151.86,-19,-3.0,1,1,1,421,340,81,27.0,4.9,28,0,2,1,0,0,28.75,415.25,254.0,161.25,20.0,2.25,0.0,1.75,7.25,0.0
401117547,12,San Diego State,17,504.19,-10,-2.0,1,1,1,425,102,323,6.9,2.8,24,2,0,2,26,0,21.5,330.25,160.75,169.5,19.75,0.5,0.75,2.0,67.75,0.25
401114218,1,USC,31,915.56,-8,-14.0,1,1,0,447,175,272,6.5,4.9,25,4,2,3,168,1,,,,,,,,,,
